date,high,low,open,close
9/12/16,1324.6,1323.65,1324.6,1323.65
9/13/16,1323.65,1321.75,1323.65,1321.75
9/14/16,1321.75,1310.8,1321.75,1310.8
9/15/16,1310.8,1308.35,1310.8,1308.35
9/16/16,1314.85,1308.35,1308.35,1314.85
9/19/16,1314.85,1313.8,1314.85,1313.8
9/20/16,1326.1,1313.8,1313.8,1326.1
9/21/16,1339.1,1326.1,1326.1,1339.1
9/22/16,1339.1,1338.65,1339.1,1338.65
9/23/16,1340.5,1338.65,1338.65,1340.5
9/26/16,1340.5,1327.0,1340.5,1327.0
9/27/16,1327.0,1322.5,1327.0,1322.5
9/28/16,1322.5,1318.1,1322.5,1318.1
9/29/16,1322.5,1318.1,1318.1,1322.5
9/30/16,1322.5,1313.3,1322.5,1313.3
10/3/16,1313.3,1283.3,1313.3,1283.3
10/4/16,1283.3,1269.4,1283.3,1269.4
10/5/16,1269.4,1254.5,1269.4,1254.5
10/6/16,1258.75,1254.5,1254.5,1258.75
10/7/16,1259.5,1258.75,1258.75,1259.5
10/10/16,1259.5,1253.45,1259.5,1253.45
10/11/16,1256.5,1253.45,1253.45,1256.5
10/12/16,1261.05,1256.5,1256.5,1261.05
10/13/16,1261.05,1251.75,1261.05,1251.75
10/14/16,1254.8,1251.75,1251.75,1254.8
10/17/16,1258.2,1254.8,1254.8,1258.2
10/18/16,1269.05,1258.2,1258.2,1269.05
10/19/16,1271.65,1269.05,1269.05,1271.65
10/20/16,1271.65,1266.05,1271.65,1266.05
10/21/16,1266.05,1265.55,1266.05,1265.55
10/24/16,1269.4,1265.55,1265.55,1269.4
10/25/16,1270.5,1269.4,1269.4,1270.5
10/26/16,1270.5,1266.25,1270.5,1266.25
10/27/16,1273.0,1266.25,1266.25,1273.0
10/28/16,1273.0,1272.0,1273.0,1272.0
10/31/16,1288.45,1272.0,1272.0,1288.45
11/1/16,1303.75,1288.45,1288.45,1303.75
11/2/16,1303.75,1301.0,1303.75,1301.0
11/3/16,1302.8,1301.0,1301.0,1302.8
11/4/16,1302.8,1283.05,1302.8,1283.05
11/7/16,1283.05,1282.35,1283.05,1282.35
11/8/16,1282.35,1281.4,1282.35,1281.4
11/9/16,1281.4,1267.5,1281.4,1267.5
11/10/16,1267.5,1236.45,1267.5,1236.45
11/11/16,1236.45,1213.6,1236.45,1213.6
11/14/16,1226.95,1213.6,1213.6,1226.95
11/15/16,1229.2,1226.95,1226.95,1229.2
11/16/16,1229.2,1226.75,1229.2,1226.75
11/17/16,1226.75,1211.0,1226.75,1211.0
11/18/16,1214.25,1211.0,1211.0,1214.25
11/21/16,1214.25,1212.25,1214.25,1212.25
11/22/16,1212.25,1185.35,1212.25,1185.35
11/23/16,1186.1,1185.35,1185.35,1186.1
11/24/16,1187.7,1186.1,1186.1,1187.7
11/25/16,1187.7,1187.0,1187.7,1187.0
11/28/16,1187.0,1186.55,1187.0,1186.55
11/29/16,1186.55,1178.1,1186.55,1178.1
11/30/16,1178.1,1161.85,1178.1,1161.85
12/1/16,1173.5,1161.85,1161.85,1173.5
12/2/16,1173.5,1162.2,1173.5,1162.2
12/5/16,1172.5,1162.2,1162.2,1172.5
12/6/16,1177.65,1172.5,1172.5,1177.65
12/7/16,1177.65,1171.05,1177.65,1171.05
12/8/16,1171.05,1163.6,1171.05,1163.6
12/9/16,1163.6,1156.1,1163.6,1156.1
12/12/16,1158.55,1156.1,1156.1,1158.55
12/13/16,1162.25,1158.55,1158.55,1162.25
12/14/16,1162.25,1126.95,1162.25,1126.95
12/15/16,1131.6,1126.95,1126.95,1131.6
12/16/16,1136.25,1131.6,1131.6,1136.25
12/19/16,1136.25,1125.7,1136.25,1125.7
12/20/16,1133.65,1125.7,1125.7,1133.65
12/21/16,1133.65,1131.35,1133.65,1131.35
12/22/16,1131.35,1131.35,1131.35,1131.35
12/23/16,1134.6,1134.6,1131.35,1134.6
12/28/16,1145.9,1134.6,1134.6,1145.9
12/29/16,1145.9,1145.9,1145.9,1145.9
12/30/16,1151.0,1151.0,1145.9,1151.0
1/3/17,1164.25,1151.0,1151.0,1164.25
1/4/17,1176.7,1164.25,1164.25,1176.7
1/5/17,1176.7,1175.85,1176.7,1175.85
1/6/17,1178.5,1175.85,1175.85,1178.5
1/9/17,1189.5,1178.5,1178.5,1189.5
1/10/17,1189.5,1178.55,1189.5,1178.55
1/11/17,1205.05,1178.55,1178.55,1205.05
1/12/17,1205.05,1190.35,1205.05,1190.35
1/13/17,1203.0,1190.35,1190.35,1203.0
1/16/17,1216.05,1203.0,1203.0,1216.05
1/17/17,1216.05,1214.75,1216.05,1214.75
1/18/17,1214.75,1196.05,1214.75,1196.05
1/19/17,1200.55,1196.05,1196.05,1200.55
1/20/17,1212.85,1200.55,1200.55,1212.85
1/23/17,1216.8,1212.85,1212.85,1216.8
1/24/17,1216.8,1195.0,1216.8,1195.0
1/25/17,1195.0,1189.7,1195.0,1189.7
1/26/17,1189.7,1184.85,1189.7,1184.85
1/27/17,1192.8,1184.85,1184.85,1192.8
1/30/17,1212.8,1192.8,1192.8,1212.8
1/31/17,1212.8,1203.65,1212.8,1203.65
2/1/17,1221.95,1203.65,1203.65,1221.95
2/2/17,1221.95,1215.2,1221.95,1215.2
2/3/17,1226.75,1215.2,1215.2,1226.75
2/6/17,1231.0,1226.75,1226.75,1231.0
2/7/17,1242.1,1231.0,1231.0,1242.1
2/8/17,1242.1,1236.8,1242.1,1236.8
2/9/17,1236.8,1228.3,1236.8,1228.3
2/10/17,1228.3,1222.25,1228.3,1222.25
2/13/17,1230.75,1222.25,1222.25,1230.75
2/14/17,1230.75,1224.4,1230.75,1224.4
2/15/17,1240.55,1224.4,1224.4,1240.55
2/16/17,1241.95,1240.55,1240.55,1241.95
2/17/17,1241.95,1237.3,1241.95,1237.3
